API Name	Method	Endpoint	Description
Auth - Login	POST	/api/Auth/login	Đăng nhập người dùng
Auth - Register	POST	/api/Auth/register	Đăng ký người dùng mới
Auth - Bulk Register	POST	/api/Auth/bulk-register	Đăng ký hàng loạt từ file Excel
Auth - Reset Password	POST	/api/Auth/reset-password	Đặt lại mật khẩu
Audits - Get All	GET	/api/Audits	Lấy danh sách tất cả audits
Audits - Get By ID	GET	/api/Audits/{id}	Lấy thông tin audit theo ID
Audits - Create	POST	/api/Audits	Tạo audit mới
Audits - Update	PUT	/api/Audits/{id}	Cập nhật audit
Audits - Delete	DELETE	/api/Audits/{id}	Xóa audit (soft delete)
Audits - Submit To Lead Auditor	POST	/api/Audits/{id}/submit-to-lead-auditor	Gửi audit cho Lead Auditor
Audits - Approve Forward Director	POST	/api/Audits/{id}/approve-forward-director	Phê duyệt và chuyển cho Director
Audits - Declined Plan Content	POST	/api/Audits/{id}/declined-plan-content	Từ chối nội dung kế hoạch
Audits - Approve Plan	POST	/api/Audits/{id}/approve-plan	Phê duyệt kế hoạch
Audits - Reject Plan Content	POST	/api/Audits/{id}/reject-plan-content	Từ chối nội dung kế hoạch
Audits - Get Summary	GET	/api/Audits/Summary/{auditId}	Lấy tóm tắt audit
Audits - Submit	POST	/api/Audits/Submit/{auditId}	Gửi audit (tạo PDF và upload)
Audits - Archive	PUT	/api/Audits/archive/{auditId}	Lưu trữ audit
Audits - Complete Update	PUT	/api/Audits/{id}/complete-update	Cập nhật toàn bộ audit và các entities liên quan
Audits - Chart Line	GET	/api/Audits/{auditId}/chart/line	Lấy dữ liệu biểu đồ line (findings theo tháng)
Audits - Chart Pie	GET	/api/Audits/{auditId}/chart/pie	Lấy dữ liệu biểu đồ pie (severity breakdown)
Audits - Chart Bar	GET	/api/Audits/{auditId}/chart/bar	Lấy dữ liệu biểu đồ bar (findings theo department)
Audits - Export PDF	GET	/api/Audits/ExportPdf/{auditId}	Xuất PDF audit report
Audits - Export Excel	GET	/api/Audits/ExportExcel/{auditId}	Xuất Excel audit report
Audits - Get By Period	GET	/api/Audits/by-period	Lấy audits theo khoảng thời gian
Audits - Validate Department	POST	/api/Audits/validate-department	Validate department uniqueness
Audits - Period Status	GET	/api/Audits/period-status	Lấy trạng thái theo khoảng thời gian
AuditPlan - Get All	GET	/api/AuditPlan	Lấy danh sách audit plans
AuditPlan - Get By ID	GET	/api/AuditPlan/{auditId}	Lấy chi tiết audit plan
AuditPlan - Update	PUT	/api/AuditPlan/{auditId}	Cập nhật audit plan
AuditPlanAssignment - Get All	GET	/api/AuditPlanAssignment	Lấy danh sách tất cả assignments
AuditPlanAssignment - Get By ID	GET	/api/AuditPlanAssignment/{id}	Lấy assignment theo ID
AuditPlanAssignment - Create	POST	/api/AuditPlanAssignment	Tạo assignment mới
AuditPlanAssignment - Update	PUT	/api/AuditPlanAssignment/{id}	Cập nhật assignment
AuditPlanAssignment - Delete	DELETE	/api/AuditPlanAssignment/{id}	Xóa assignment
